order_id,product_id,quantity,price
1,53,8,58.45
1,11,3,153.14
1,186,9,117.44
2,164,5,106.13
2,80,3,20.04
2,48,10,147.3
3,143,1,198.2
3,87,10,114.02
3,186,6,135.35
3,86,10,182.61
3,144,6,118.05
4,42,6,129.39
4,187,4,72.43
5,164,4,29.88
5,160,2,172.39
5,12,3,162.92
5,24,4,195.71
6,2,5,149.78
6,180,3,30.17
7,153,2,72.09
8,166,4,25.72
8,126,9,138.08
9,182,7,187.68
9,193,1,81.68
9,40,4,79.87
9,97,2,175.92
9,83,8,63.23
10,28,4,130.58
10,123,8,134.1
10,27,9,192.45
10,48,4,31.83
10,90,7,144.77
11,112,3,88.93
11,185,5,176.15
12,40,9,132.3
12,51,8,121.93
12,141,9,143.95
13,131,6,50.62
13,124,3,93.83
13,147,4,125.96
14,136,8,141.6
15,33,3,134.28
16,29,10,130.92
17,24,7,178.39
17,19,5,181.37
17,49,4,142.56
17,33,1,143.11
18,46,10,171.04
18,46,8,123.57
18,57,2,172.58
18,135,6,186.2
19,129,1,126.71
19,102,6,44.44
19,100,8,145.9
20,81,5,169.01
20,41,1,147.99
20,147,5,132.82
21,154,7,23.23
21,138,4,138.61
21,196,8,34.54
21,139,7,116.36
21,172,2,31.34
22,196,2,138.35
22,92,5,128.86
22,38,6,53.55
23,51,4,101.15
24,22,2,136.31
24,58,8,164.41
24,139,7,16.99
25,13,2,137.34
25,95,3,169.25
25,139,5,123.33
26,123,4,135.05
26,6,9,132.05
26,34,2,48.5
26,119,6,39.91
27,116,7,48.18
28,1,4,88.43
28,185,10,26.3
29,66,7,91.27
29,130,1,153.24
30,151,6,145.88
30,149,3,151.7
30,43,6,87.77
31,21,5,164.07
31,90,4,43.05
31,11,10,60.47
31,186,4,24.59
32,72,6,116.26
33,145,5,160.89
34,107,9,178.53
35,26,9,18.52
35,2,9,92.96
35,28,6,38.97
35,61,6,69.54
35,24,2,104.51
36,33,9,94.96
36,155,4,149.49
36,131,3,91.61
36,15,9,171.02
37,178,3,137.93
37,63,9,82.08
38,142,1,127.44
38,31,2,74.41
38,3,9,13.13
39,38,5,163.41
39,105,5,191.29
39,95,7,76.64
39,23,5,109.89
40,15,4,82.26
40,159,6,107.9
40,118,7,168.67
41,38,2,68.01
41,5,3,170.3
41,120,5,47.15
41,122,4,37.32
42,168,2,71.73
42,171,1,58.21
42,85,7,73.21
42,193,5,18.58
43,23,5,153.98
43,127,8,65.19
44,36,7,82.5
44,192,4,154.72
44,110,7,68.28
44,121,5,35.23
44,179,4,116.08
45,37,6,80.76
45,155,1,74.11
45,112,7,102.18
46,142,6,96.17
47,108,10,152.87
47,191,7,146.17
47,96,10,188.44
48,13,2,184.09
48,140,1,195.18
49,21,9,75.74
49,145,3,34.28
49,172,3,24.26
50,151,5,131.05
50,166,7,137.67
51,3,9,36.38
51,6,9,85.74
51,172,9,197.98
52,172,10,180.55
52,143,10,171.08
52,34,8,147.17
52,34,1,141.31
53,167,10,174.65
54,190,2,120.85
54,149,4,31.49
54,62,2,114.68
54,78,2,109.08
54,180,4,177.68
55,140,7,75.47
55,90,3,133.58
56,109,4,143.33
56,37,9,63.33
57,157,10,11.57
57,75,7,75.41
58,77,1,44.94
58,138,3,140.62
58,94,9,115.15
59,34,1,117.31
59,108,3,183.17
59,48,1,140.2
59,94,9,82.28
59,26,8,16.93
60,3,8,51.66
61,33,1,193.14
61,152,4,60.25
61,135,1,108.28
62,71,2,19.54
62,61,6,124.04
62,3,2,115.29
62,61,6,190.63
62,74,10,168.49
63,47,10,101.7
63,5,1,137.1
63,188,9,179.17
63,134,8,111.94
64,191,2,78.31
64,177,8,62.63
64,172,8,132.34
65,73,4,149.62
65,50,10,48.45
65,32,3,82.44
65,25,9,149.05
66,44,5,48.83
66,31,6,144.66
66,34,2,175.59
66,148,2,94.59
66,87,10,112.33
67,51,9,155.37
67,63,4,79.58
67,72,5,179.38
68,176,4,67.81
68,37,8,199.91
69,150,1,101.24
69,169,10,185.86
69,84,9,135.23
69,49,5,148.52
69,107,7,84.96
70,164,6,16.83
70,122,2,121.26
70,4,2,199.41
70,163,7,95.94
71,117,1,176.9
71,9,10,48.4
71,95,7,161.25
71,40,3,10.76
71,107,1,151.14
72,2,4,167.84
72,3,2,72.99
72,8,7,34.28
72,41,3,12.91
72,167,6,60.6
73,151,2,54.63
73,65,8,12.44
74,86,10,78.06
75,77,10,85.16
75,133,7,114.96
75,37,10,151.24
75,6,1,180.41
76,15,1,195.68
76,63,7,97.26
76,169,10,71.29
77,90,2,89.7
77,54,9,45.36
78,118,9,164.97
78,30,1,131.18
78,5,10,108.9
78,44,9,104.6
79,155,3,24.65
79,172,4,144.35
79,78,6,54.99
79,173,5,163.78
80,82,7,154.11
80,36,2,118.51
80,127,10,122.14
80,163,5,112.5
80,67,6,54.15
81,81,7,56.34
81,174,1,38.32
81,147,6,41.58
82,81,6,79.73
82,186,4,79.53
83,200,1,122.45
83,51,4,29.94
83,13,1,194.6
84,117,3,45.94
84,14,1,194.04
84,55,2,80.6
84,148,9,191.05
85,51,7,188.26
85,129,1,176.65
85,77,9,92.79
85,91,5,60.99
85,170,5,14.91
86,98,2,72.91
86,159,8,99.37
86,159,9,167.49
87,41,2,101.42
87,185,10,92.46
88,168,5,117.42
88,77,5,95.3
88,97,7,138.35
88,19,9,87.0
89,64,3,111.6
90,64,7,161.61
90,15,1,108.06
90,80,3,95.86
90,126,5,27.62
91,84,6,72.22
92,19,2,146.53
92,102,5,196.31
93,117,2,36.11
93,12,6,51.11
93,19,5,65.87
93,37,5,183.1
93,78,3,189.22
94,167,5,72.4
95,30,10,179.87
95,188,1,123.95
95,27,1,165.95
96,99,6,176.1
96,92,2,82.48
96,97,10,178.28
97,58,6,140.41
97,108,10,141.13
97,181,3,128.12
97,171,5,21.95
97,59,3,100.94
98,76,10,107.38
98,165,2,122.92
98,167,10,37.46
99,39,10,161.8
99,69,3,161.08
99,68,5,126.64
99,135,7,46.47
100,141,10,95.4
100,53,7,52.71
100,78,9,91.43
100,76,7,172.83
100,36,4,33.23
101,106,8,129.93
102,99,8,198.36
103,26,6,156.62
103,57,2,168.07
104,135,1,166.52
104,124,6,76.36
104,80,9,57.47
104,182,6,23.86
104,166,9,112.38
105,153,5,177.08
105,154,9,97.0
106,148,2,23.93
106,88,9,135.72
106,27,1,64.42
106,161,3,188.26
107,84,3,102.54
108,103,6,178.66
108,108,2,66.82
109,145,6,80.15
110,183,3,79.99
111,56,9,38.04
111,190,6,40.38
112,160,5,62.84
112,70,8,68.98
112,179,7,99.66
112,196,7,163.15
113,70,2,116.37
113,33,5,73.5
113,98,7,159.17
113,107,9,64.49
114,149,1,196.96
115,161,6,119.51
115,179,1,121.87
116,74,5,72.36
116,178,7,102.36
117,22,10,55.95
117,11,9,160.87
117,54,8,53.83
117,115,9,166.46
117,66,8,101.02
118,68,9,132.36
118,98,8,82.06
119,77,6,129.32
119,200,1,111.45
120,15,2,114.69
120,138,7,180.54
121,122,10,36.88
121,129,1,106.92
121,126,6,180.42
122,138,8,24.91
122,131,6,59.36
122,172,6,150.53
122,106,10,136.38
123,24,8,188.28
123,169,10,27.86
123,171,2,180.83
123,52,8,193.1
123,105,7,88.46
124,19,5,110.09
124,142,9,163.89
124,134,1,153.48
124,141,5,132.65
124,11,6,173.14
125,176,4,119.18
125,142,7,38.17
126,173,3,95.02
126,146,6,110.92
126,14,10,77.93
126,90,7,193.86
127,173,8,135.24
128,197,2,117.45
128,3,4,68.82
128,99,8,179.24
128,148,3,127.56
129,180,5,20.59
129,9,3,78.23
129,83,10,109.45
130,139,5,112.22
130,39,10,107.64
131,71,3,188.67
131,187,5,19.73
131,190,4,110.42
131,45,5,32.15
131,2,7,176.25
132,155,8,14.43
132,40,6,178.86
132,92,3,184.42
132,27,8,27.08
133,16,10,167.37
133,140,9,31.66
134,21,4,128.36
135,154,2,27.78
135,148,5,92.21
135,191,6,126.45
136,144,1,136.98
136,9,9,155.03
136,192,4,188.08
136,136,9,10.11
137,143,3,82.93
138,104,9,89.47
138,62,8,91.39
139,135,9,134.63
139,141,9,67.34
139,60,8,124.68
139,186,8,50.45
140,105,1,85.11
141,178,5,55.7
141,130,2,141.11
141,200,9,23.23
142,133,2,157.64
142,118,1,58.18
142,123,9,184.12
142,92,1,146.32
143,129,10,174.24
143,56,4,79.46
143,114,6,68.81
144,115,10,34.6
144,175,9,29.27
144,146,9,23.06
145,75,1,98.37
145,190,2,50.65
145,4,10,34.62
146,81,9,152.94
146,149,10,138.79
147,33,5,112.08
147,69,1,185.92
147,126,3,91.11
147,37,4,147.24
148,81,6,119.79
149,171,8,139.48
149,58,8,108.78
150,84,2,64.07
150,97,8,96.32
150,69,1,29.32
150,83,9,93.63
151,199,2,181.44
151,110,8,18.31
152,119,5,37.87
152,26,5,18.36
152,159,9,88.14
152,28,1,187.81
152,141,8,111.16
153,91,10,86.06
153,102,2,87.67
153,170,1,82.44
153,176,3,59.74
153,21,1,11.08
154,152,3,28.15
155,14,4,55.78
155,11,9,63.49
155,122,9,82.71
156,56,7,46.32
156,170,5,78.48
156,199,8,136.4
157,70,1,18.39
157,44,8,47.67
158,2,2,157.76
158,10,3,134.92
158,14,2,65.55
158,177,1,92.18
159,24,4,165.41
159,137,5,155.18
159,118,8,12.28
159,131,5,54.97
160,18,3,47.66
160,199,7,38.44
160,140,2,173.8
160,3,4,135.95
161,71,3,23.75
161,17,9,194.97
161,49,1,133.66
161,117,4,30.66
162,175,8,87.7
162,194,9,17.6
162,135,6,39.96
162,30,9,81.53
162,150,6,97.05
163,141,6,141.6
163,86,7,77.65
163,145,7,146.88
163,199,4,33.92
163,151,3,169.49
164,188,8,16.28
164,112,4,97.12
165,113,7,31.99
166,131,2,182.06
167,160,4,61.3
167,13,1,32.6
167,168,2,36.34
168,115,4,75.49
168,33,4,97.32
168,3,8,75.86
168,113,3,158.45
168,27,5,186.89
169,45,5,42.42
169,164,6,176.46
169,153,8,40.56
170,190,8,166.62
170,95,9,135.04
170,102,10,110.75
170,158,2,95.99
171,116,3,20.54
171,199,4,122.82
172,189,10,50.12
172,166,5,45.77
172,79,10,105.14
172,5,6,10.48
172,129,5,144.36
173,179,9,131.98
173,116,9,119.58
173,50,2,157.28
174,166,10,176.65
174,63,3,95.71
175,67,4,80.21
175,68,6,51.62
176,84,1,22.25
176,161,9,153.52
176,128,6,83.74
177,155,9,14.04
177,158,10,181.13
177,123,7,184.88
177,101,9,101.39
177,147,5,92.96
178,92,10,113.14
178,141,5,82.17
178,117,6,193.8
178,109,10,172.11
178,5,2,26.01
179,94,6,69.68
179,153,2,150.04
180,121,4,112.61
180,150,5,188.86
180,84,4,60.61
180,171,5,56.64
181,131,2,160.71
181,164,2,106.6
182,153,3,169.07
182,176,7,38.13
183,86,1,167.26
184,52,1,15.13
184,166,1,139.01
185,147,3,198.13
185,8,2,89.44
185,56,3,170.48
186,62,7,91.54
186,108,3,20.77
186,90,3,120.88
186,47,9,125.09
186,2,2,177.6
187,41,5,85.78
188,119,9,198.46
189,104,6,74.44
189,169,7,186.96
189,52,4,150.67
189,32,7,71.87
189,98,3,54.37
190,133,2,170.94
190,140,4,186.28
190,160,1,72.17
190,5,5,146.37
190,28,10,128.34
191,35,5,154.67
191,194,8,117.66
191,118,3,132.21
191,140,8,124.73
192,80,6,90.51
192,93,5,115.4
193,116,8,100.44
193,48,2,52.13
193,16,2,109.67
193,101,7,58.61
193,198,7,36.91
194,175,6,129.06
194,33,5,142.38
194,91,4,30.56
195,128,1,187.76
196,87,8,12.83
196,121,4,42.68
196,167,4,164.84
197,155,8,130.52
197,157,7,18.36
198,182,3,173.16
198,55,7,28.18
198,22,1,120.41
198,87,9,174.99
198,189,3,48.95
199,60,6,171.79
200,96,2,62.65
200,70,5,147.89
200,26,9,106.13
200,42,9,28.15
201,62,8,20.97
201,82,2,37.59
201,93,8,113.13
201,159,1,105.25
202,8,2,113.2
203,54,7,165.73
203,143,9,29.0
203,138,8,30.71
203,54,1,146.2
204,17,3,18.62
204,178,1,28.39
204,7,8,119.27
204,144,2,140.91
205,119,4,23.86
205,51,7,80.92
205,4,7,165.5
206,30,6,153.51
206,83,7,74.11
206,82,6,47.41
206,25,3,160.89
207,71,1,113.36
207,18,10,197.16
208,74,10,160.44
208,83,2,15.19
208,179,3,124.84
209,77,4,187.26
209,73,2,191.54
209,60,6,151.42
209,34,8,198.88
209,82,4,111.12
210,91,7,96.64
210,184,4,22.28
210,85,10,36.07
211,79,5,37.13
211,111,7,55.0
211,60,2,100.66
211,88,7,35.56
211,148,5,95.86
212,198,1,107.5
213,120,10,192.15
213,195,10,23.62
213,49,10,13.35
213,50,5,19.25
213,145,6,31.39
214,124,2,44.02
214,142,2,182.8
214,152,10,69.85
215,135,8,146.22
215,153,3,54.91
215,23,2,17.67
215,145,5,20.55
216,112,9,33.95
216,31,2,85.67
216,185,6,161.79
216,130,4,129.73
217,81,8,95.86
218,38,6,114.88
218,61,8,126.21
218,174,5,19.35
218,118,4,32.57
218,60,5,99.49
219,133,1,111.15
220,54,6,184.89
220,158,6,30.08
220,47,2,67.78
221,70,7,163.65
221,106,9,179.94
221,111,9,39.61
221,138,4,125.21
222,11,1,167.5
222,187,6,54.89
222,165,7,165.2
222,83,10,30.4
223,8,3,85.5
223,12,1,73.72
223,75,9,130.59
223,112,2,130.57
223,123,1,172.98
224,179,8,150.3
224,53,4,149.61
225,55,10,104.86
226,141,10,67.44
226,162,4,30.01
226,4,3,166.42
227,27,8,141.21
227,154,2,140.52
227,164,5,165.21
227,171,6,66.65
227,38,1,146.32
228,37,8,109.35
228,189,10,173.45
228,151,1,31.92
228,95,2,186.45
229,200,1,117.69
229,79,7,131.26
230,157,8,28.95
230,189,4,47.06
231,61,5,119.27
232,169,4,48.85
232,137,2,117.12
232,20,10,72.84
233,116,4,61.22
234,34,6,89.77
234,109,1,166.39
234,84,3,112.17
234,36,6,111.8
234,101,10,165.71
235,108,6,187.27
236,12,6,34.21
236,90,7,152.43
237,14,8,49.57
237,136,6,118.16
237,175,7,85.55
237,173,4,141.12
237,141,3,69.53
238,160,9,127.11
238,190,9,47.16
238,52,10,118.22
238,10,8,124.43
239,37,2,85.8
239,173,6,89.62
240,106,5,190.04
240,168,4,106.56
240,191,2,79.61
240,77,6,60.82
240,106,7,151.52
241,16,3,142.49
241,105,4,168.36
241,199,5,63.78
241,39,10,144.25
242,86,3,137.55
242,99,9,107.71
242,121,2,12.72
242,121,5,135.58
243,17,3,55.61
243,163,10,141.08
243,85,3,39.51
243,122,7,127.76
243,140,5,166.94
244,122,10,189.4
244,22,2,113.72
244,185,9,137.0
245,180,3,110.38
245,35,9,77.13
246,180,3,172.23
247,47,1,132.94
248,108,2,22.36
248,130,4,29.16
249,134,7,39.32
249,195,9,33.01
249,36,2,148.65
249,148,7,161.05
249,179,9,137.92
250,76,10,21.98
250,69,5,171.28
250,47,10,182.37
250,116,7,126.71
251,8,3,158.11
251,84,2,20.79
251,116,3,176.8
251,81,3,80.93
251,177,3,109.47
252,10,4,101.2
252,61,8,143.75
252,184,9,70.26
253,109,6,124.48
253,182,3,109.76
253,127,2,92.24
253,180,6,169.17
253,45,5,29.42
254,184,10,24.29
254,56,9,152.16
254,43,9,80.74
254,156,4,59.75
255,37,6,110.69
255,114,5,70.45
255,56,5,120.76
256,79,2,91.3
256,133,6,130.42
256,107,3,82.56
256,2,10,114.0
257,12,8,50.67
257,171,8,91.91
257,112,8,80.46
257,137,2,123.31
257,190,5,142.05
258,194,5,28.75
258,4,9,108.94
258,123,8,40.26
259,63,7,115.24
259,152,10,10.94
259,50,8,122.18
259,198,5,54.87
260,21,1,31.82
260,142,10,198.89
261,76,2,53.65
261,140,2,188.2
261,94,3,101.53
261,2,2,66.87
262,91,3,157.81
263,87,5,158.66
264,64,8,70.57
264,127,4,102.29
264,136,5,156.51
264,191,6,39.18
264,119,9,107.18
265,62,2,196.13
265,76,10,16.6
265,76,7,108.94
266,61,7,120.96
266,185,3,178.58
266,67,9,32.08
266,119,7,49.4
266,75,9,80.96
267,148,7,121.98
267,106,8,151.54
268,37,4,71.48
268,76,5,122.38
268,82,3,158.12
268,11,2,121.11
268,108,9,75.17
269,147,4,55.61
269,180,4,44.08
269,145,2,131.29
269,116,1,198.47
269,152,9,43.65
270,90,4,183.29
270,112,6,96.12
270,139,5,95.66
270,134,7,81.35
271,158,8,55.48
271,45,4,102.41
271,161,5,12.8
272,115,4,142.08
272,136,7,34.27
272,30,1,113.09
272,75,9,45.64
273,41,3,197.66
273,57,2,31.81
273,11,6,121.3
273,160,2,122.66
273,103,5,114.07
274,23,9,89.1
274,46,2,47.34
274,13,4,181.47
274,153,9,77.95
274,164,8,52.32
275,44,8,96.21
275,31,3,175.48
276,38,7,130.19
276,3,2,77.47
277,71,6,65.32
278,59,6,174.02
278,40,7,33.68
278,39,2,196.03
278,9,7,60.68
279,154,3,126.21
279,113,3,30.95
280,22,7,94.5
281,8,8,64.96
281,152,4,43.57
